설치읍면동,위도,경도
강원도 원주시 태장1동 753-4,37.3559837,127.95755
강원도 원주시 태장2동 1375,37.3845596,127.9516907
강원도 원주시 태장2동 1385-6,37.3824234,127.9478378
강원도 원주시 판부면 서곡리 1999-7,37.3208885,127.9451447
강원도 원주시 학성동 973-24,37.3582573,127.9396057
강원도 원주시 학성동 303-2,37.3553429,127.9452057
강원도 원주시 흥업면 흥업리 65-15,37.3028221,127.9201126
강원도 원주시 봉산동 901-69,37.3453598,127.9601898
강원도 원주시 우산동 704-1,37.3874969,127.921463
강원도 원주시 중앙동 60-13,37.3500061,127.9485931
강원도 원주시 일산동 250,37.3510208,127.9397354
강원도 원주시 단구동 1534-10,37.323555,127.9408569
강원도 원주시 무실동 1656-6,37.3336296,127.9232864
강원도 원주시 단계동 908-10,37.3406754,127.9345474
강원도 원주시 단계동 778-22,37.3475494,127.9354706
강원도 원주시 개운동 446-3,37.3313408,127.9521637
강원도 원주시 개운동 440-10,37.333416,127.9507599
강원도 원주시 봉산동 1060-18,37.3513031,127.9572449
강원도 원주시 단계동 68-9,37.3622017,127.9360275
강원도 원주시 개운동 199-6,37.3393745,127.9598236
강원도 원주시 무실동 1720-2,37.3411713,127.9211549
강원도 원주시 문막읍 동화리 1681-1,37.3334274,127.8418655
강원도 원주시 개운동 203-11,37.3395004,127.9619675
강원도 원주시 명륜2동 388,37.3352089,127.9421539
강원도 원주시 명륜2동 764-2,37.334343,127.9401398
강원도 원주시 단구동 1464-12,37.330143,127.9519348
강원도 원주시 단구동 1529-1,37.3247528,127.9426193
강원도 원주시 단구동 1556-1,37.3239365,127.944191
강원도 원주시 단구동 1540-6,37.3233185,127.9417648
강원도 원주시 단구동 1610-3,37.3252945,127.9557877
강원도 원주시 단구동 1679,37.3204651,127.9556274
강원도 원주시 단구동 1644-1,37.3216667,127.9595108
강원도 원주시 단구동 1620-5,37.3220215,127.9591141
강원도 원주시 일산동 184-1,37.3525543,127.9448242
강원도 원주시 단계동 806-2,37.3543243,127.9280701
강원도 원주시 단계동 807-2,37.3520317,127.9315414
강원도 원주시 단계동 933,37.337883,127.934639
강원도 원주시 단계동 1082-3,37.353199,127.9334335
강원도 원주시 단계동 1112-1,37.3481941,127.927269
강원도 원주시 단계동 824,37.3493195,127.9327774
강원도 원주시 단계동 910-1,37.3404961,127.936615
강원도 원주시 우산동 820,37.364212,127.9344788
강원도 원주시 태장2동 1054-4,37.3802948,127.9510574
강원도 원주시 태장2동 2705,37.3854179,127.9535294
강원도 원주시 단구동 1473-6,37.3211746,127.966423
강원도 원주시 무실동 1640,37.3368263,127.9253769
강원도 원주시 무실동 1645,37.334343,127.9265594
강원도 원주시 무실동 1674-5,37.3330154,127.9214783
강원도 원주시 무실동 1654-5,37.3338192,127.9247971
강원도 원주시 무실동 1732-11,37.3377304,127.9284668
강원도 원주시 무실동 1728-8,37.3384361,127.9271545
강원도 원주시 무실동 1761-1,37.337368,127.9224854
강원도 원주시 무실동 1653,37.3341599,127.923439
강원도 원주시 반곡관설동 1687-7,37.3187637,127.9626846
강원도 원주시 반곡관설동 1792-1,37.3147469,127.959465
강원도 원주시 반곡관설동 1751-3,37.3178329,127.9590607
강원도 원주시 반곡관설동 1751-3,37.3193703,127.9594116
강원도 원주시 귀래면 운남리 1012-1,37.1727982,127.8840408
강원도 원주시 판부면 신촌리 1192-1,37.3014984,127.9744568
강원도 원주시 명륜2동 608,37.3321877,127.9433289
강원도 원주시 태장2동 540-5,37.3835564,127.9584961
강원도 원주시 우산동 287-1,37.3653259,127.9382935
강원도 원주시 우산동 287-1,37.3656998,127.9378738
강원도 원주시 문막읍 건등리 1699-2,37.314518,127.8203812
강원도 원주시 문막읍 건등리 1707-16,37.3121719,127.8197479
강원도 원주시 흥업면 매지리 1932,37.2787743,127.9104156
강원도 원주시 판부면 서곡리 1993,37.3203278,127.9426956
강원도 원주시 판부면 서곡리 2022,37.3182907,127.9490204
강원도 원주시 개운동 438,37.3330727,127.9495697
강원도 원주시 개운동 251-1,37.3382263,127.9557953
강원도 원주시 명륜1동 313,37.3380852,127.9410858
강원도 원주시 명륜1동 313,37.3368988,127.9423981
강원도 원주시 명륜1동 313,37.3350945,127.9468842
강원도 원주시 명륜2동 482,37.3332939,127.9451981
강원도 원주시 명륜2동 836-1,37.3275528,127.9408264
강원도 원주시 명륜2동 834-2,37.3282204,127.9413071
강원도 원주시 단구동 1536-9,37.3227196,127.941803
강원도 원주시 단구동 1555,37.3241539,127.9438629
강원도 원주시 단구동 1579-3,37.3230057,127.9495697
강원도 원주시 단구동 1610-3,37.3256569,127.9562149
강원도 원주시 단구동 1679,37.3209724,127.9555206
강원도 원주시 학성동 1064-2,37.3521996,127.9363861
강원도 원주시 개운동 389,37.3416214,127.9580002
강원도 원주시 단계동 903,37.3418694,127.9337158
강원도 원주시 단계동 818-4,37.3496437,127.9300156
강원도 원주시 단계동 1095-3,37.3501816,127.9263153
강원도 원주시 우산동 123-1,37.3703842,127.9382401
강원도 원주시 우산동 123-1,37.3703842,127.9382401
강원도 원주시 우산동 123-1,37.3703842,127.9382401
